 ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.008    0.002 __init__.py:1358(inner)
        1    0.000    0.000    0.000    0.000 __init__.py:1368(_clear_cache)
        1    0.000    0.000    0.002    0.002 __init__.py:138(_check_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:1385(Logger)
       33    0.000    0.000    0.000    0.000 __init__.py:1400(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1413(setLevel)
      311    0.000    0.000    0.000    0.000 __init__.py:1420(debug)
        1    0.000    0.000    0.002    0.002 __init__.py:15(<module>)
      498    0.000    0.000    0.000    0.000 __init__.py:153(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:153(py_object)
        1    0.000    0.000    0.004    0.004 __init__.py:154(safe_load)
        2    0.000    0.000    0.000    0.000 __init__.py:1584(cpu_times)
        1    0.000    0.000    0.000    0.000 __init__.py:1597(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:162(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:164(physical_constants)
      108    0.000    0.000    0.000    0.000 __init__.py:1654(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:166(c_ushort)
        4    0.000    0.000    0.000    0.000 __init__.py:1671(getEffectiveLevel)
      311    0.000    0.000    0.000    0.000 __init__.py:1685(isEnabledFor)
       52    0.000    0.000    0.000    0.000 __init__.py:1696(safe_first_element)
        1    0.000    0.000    0.003    0.003 __init__.py:17(<module>)
      532    0.001    0.000    0.001    0.000 __init__.py:170(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:170(c_long)
        8    0.000    0.000    0.000    0.000 __init__.py:1718(sanitize_sequence)
       10    0.000    0.000    0.000    0.000 __init__.py:172(check_getitem)
      692    0.005    0.000    0.008    0.000 __init__.py:1726(normalize_kwargs)
        1    0.000    0.000    0.000    0.000 __init__.py:1739(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:174(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1745(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1756(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:176(astronomical_constants)
      692    0.002    0.000    0.002    0.000 __init__.py:1791(<dictcomp>)
      692    0.000    0.000    0.000    0.000 __init__.py:1805(<listcomp>)
      692    0.000    0.000    0.000    0.000 __init__.py:1810(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:183(c_int)
        4    0.000    0.000    0.000    0.000 __init__.py:1866(_topmost_artist)
        1    0.000    0.000    0.000    0.000 __init__.py:187(c_uint)
      920    0.000    0.000    0.001    0.000 __init__.py:1879(_str_equal)
       37    0.000    0.000    0.000    0.000 __init__.py:189(_checkLevel)
      152    0.000    0.000    0.000    0.000 __init__.py:1890(_str_lower_equal)
       16    0.000    0.000    0.000    0.000 __init__.py:19(_simple_escaping_wrapper)
        4    0.000    0.000    0.000    0.000 __init__.py:19(get_projection_class)
       12    0.000    0.000    0.001    0.000 __init__.py:1901(_define_aliases)
        1    0.000    0.000    0.000    0.000 __init__.py:191(c_float)
       82    0.000    0.000    0.000    0.000 __init__.py:1922(make_alias)
        4    0.000    0.000    0.000    0.000 __init__.py:1923(method)
        1    0.000    0.000    0.000    0.000 __init__.py:194(<dictcomp>)
